,open_x,high_x,low_x,close_x,volume,date_x,ts,date_y,open_y,close_y,high_y,low_y,vol
0,16501.0,17140.0,16220.656,17140.0,1.3257049999999997,2017-12-12 15:00:00,1513071000,2017-12-12 15:00:00,927.54,929.07,926.65,926.79,0
1,17019.0,17159.0,17019.0,17020.0,2.1881040000000005,2017-12-12 16:00:00,1513074600,2017-12-12 16:00:00,928.33,928.93,927.53,927.53,0
2,17054.0,17315.0,17021.0,17315.0,8.663113000000001,2017-12-12 17:00:00,1513078200,2017-12-12 17:00:00,928.16,929.28,927.66,928.33,0
3,17327.0,17579.0,17204.0,17354.0,16.794211000000008,2017-12-12 18:00:00,1513081800,2017-12-12 18:00:00,928.27,928.45,926.61,928.14,0
4,17349.0,17514.0,17162.0,17339.0,9.273953999999998,2017-12-12 19:00:00,1513085400,2017-12-12 19:00:00,926.96,928.26,926.96,928.26,0
5,17347.0,17500.0,17000.0,17038.0,10.083979,2017-12-12 20:00:00,1513089000,2017-12-12 20:00:00,926.6,928.08,926.42,926.95,0
6,17034.0,17248.0,16931.0,17070.0,12.242743999999998,2017-12-12 21:00:00,1513092600,2017-12-12 21:00:00,923.2,926.58,923.2,926.57,0
7,16981.0,17207.0,16891.0,16891.0,10.749908000000003,2017-12-13 15:00:00,1513157400,2017-12-13 15:00:00,929.28,929.35,922.59,922.93,0
8,16887.0,17103.961,16501.0,16621.0,13.699622999999997,2017-12-13 16:00:00,1513161000,2017-12-13 16:00:00,928.86,930.36,928.04,929.27,0
9,16617.0,16617.0,16101.0,16329.0,24.710287999999988,2017-12-13 17:00:00,1513164600,2017-12-13 17:00:00,933.11,933.11,928.09,928.86,0
10,16308.0,16343.0,15654.0,16149.0,28.804723000000003,2017-12-13 18:00:00,1513168200,2017-12-13 18:00:00,928.97,933.51,928.7,933.15,0
11,16157.0,16500.0,15669.0,16434.0,15.809904999999999,2017-12-13 19:00:00,1513171800,2017-12-13 19:00:00,928.88,928.96,927.79,928.96,0
12,16412.0,16497.0,16185.0,16216.0,11.911692000000004,2017-12-13 20:00:00,1513175400,2017-12-13 20:00:00,930.0,930.57,928.91,928.91,0
13,16220.0,16790.0,16220.0,16668.0,13.079705000000004,2017-12-13 21:00:00,1513179000,2017-12-13 21:00:00,927.65,929.95,927.05,929.95,0
14,16129.698,16374.0,15955.0,16332.0,18.062934999999992,2017-12-14 15:00:00,1513243800,2017-12-14 15:00:00,928.47,928.63,927.26,928.23,0
15,16337.0,16408.0,16238.0,16287.0,9.856930000000006,2017-12-14 16:00:00,1513247400,2017-12-14 16:00:00,927.18,929.38,925.63,928.49,0
16,16291.0,16553.0,16187.361,16434.0,10.446404999999997,2017-12-14 17:00:00,1513251000,2017-12-14 17:00:00,927.12,927.57,923.74,927.14,0
17,16440.0,16615.0,16376.0,16380.0,9.358338,2017-12-14 18:00:00,1513254600,2017-12-14 18:00:00,924.26,927.34,924.22,927.11,0
18,16398.0,16486.0,16342.0,16409.0,10.027013000000006,2017-12-14 19:00:00,1513258200,2017-12-14 19:00:00,917.04,924.25,917.04,924.24,0
19,16415.0,16466.0,16256.0,16256.0,8.589758,2017-12-14 20:00:00,1513261800,2017-12-14 20:00:00,918.35,919.36,914.79,917.01,0
20,16251.0,16400.0,16227.0,16362.0,8.128366999999997,2017-12-14 21:00:00,1513265400,2017-12-14 21:00:00,916.87,918.88,915.46,918.36,0
21,17680.0,17760.0,17521.0,17619.0,4.351189,2017-12-15 15:00:00,1513330200,2017-12-15 15:00:00,924.21,924.76,918.42,918.42,0
22,17609.0,17762.0,17574.0,17656.0,4.8571360000000015,2017-12-15 16:00:00,1513333800,2017-12-15 16:00:00,926.91,927.98,924.25,924.25,0
23,17634.0,17700.0,17494.94,17574.0,7.867965999999998,2017-12-15 17:00:00,1513337400,2017-12-15 17:00:00,929.92,931.61,926.68,926.87,0
24,17570.0,17774.0,17500.0,17774.0,2.6053039999999985,2017-12-15 18:00:00,1513341000,2017-12-15 18:00:00,932.24,933.13,929.78,929.93,0
25,17740.0,17844.0,17620.0,17654.0,5.065857000000002,2017-12-15 19:00:00,1513344600,2017-12-15 19:00:00,933.84,933.88,931.24,932.26,0
26,17698.0,17866.0,17417.311,17758.0,7.5723499999999975,2017-12-15 20:00:00,1513348200,2017-12-15 20:00:00,935.27,936.37,933.67,933.8,0
27,17753.0,17775.0,17347.0,17570.0,14.23365499999999,2017-12-15 21:00:00,1513351800,2017-12-15 21:00:00,932.57,937.51,931.71,935.31,0
28,18510.0,18755.0,18510.0,18705.0,11.874144999999993,2017-12-18 15:00:00,1513589400,2017-12-18 15:00:00,948.57,948.57,939.18,939.18,0
29,18709.0,18741.0,18468.0,18475.0,12.024836999999998,2017-12-18 16:00:00,1513593000,2017-12-18 16:00:00,946.01,949.07,944.82,948.92,0
30,18468.0,19233.99,18212.0,18459.0,8.641501000000002,2017-12-18 17:00:00,1513596600,2017-12-18 17:00:00,945.74,946.65,944.98,945.98,0
31,18453.0,18551.958,18200.0,18361.0,8.197055999999998,2017-12-18 18:00:00,1513600200,2017-12-18 18:00:00,943.35,946.6,943.21,945.84,0
32,18567.0,18711.0,18524.0,18699.0,7.404238000000001,2017-12-18 19:00:00,1513603800,2017-12-18 19:00:00,942.43,943.82,942.3,943.35,0
33,18713.0,18886.61,18515.573,18611.0,7.8961399999999955,2017-12-18 20:00:00,1513607400,2017-12-18 20:00:00,943.93,943.93,942.25,942.44,0
34,18620.0,18734.0,18481.32,18650.0,5.956251999999995,2017-12-18 21:00:00,1513611000,2017-12-18 21:00:00,945.06,945.06,942.7,943.92,0
35,17636.0,17740.0,17514.0,17678.0,14.48107,2017-12-19 15:00:00,1513675800,2017-12-19 15:00:00,945.11,946.74,944.78,946.48,0
36,17684.0,18210.911,17680.0,18168.0,17.60266899999999,2017-12-19 16:00:00,1513679400,2017-12-19 16:00:00,945.29,945.37,944.03,945.06,0
37,18146.0,18289.0,17901.0,17950.0,14.262240999999989,2017-12-19 17:00:00,1513683000,2017-12-19 17:00:00,942.27,945.31,942.27,945.29,0
38,17960.0,18167.0,17854.0,17982.0,9.557237999999998,2017-12-19 18:00:00,1513686600,2017-12-19 18:00:00,940.85,942.24,938.89,942.24,0
39,17972.0,18020.837,17601.0,17712.0,11.675417000000008,2017-12-19 19:00:00,1513690200,2017-12-19 19:00:00,940.17,941.62,940.17,940.84,0
40,17649.0,17798.0,17318.0,17508.0,14.546538,2017-12-19 20:00:00,1513693800,2017-12-19 20:00:00,938.34,940.49,937.95,940.13,0
41,17513.0,17549.0,16461.0,16894.0,26.676432000000005,2017-12-19 21:00:00,1513697400,2017-12-19 21:00:00,936.6,938.59,936.26,938.35,0
42,17095.0,17095.0,16300.0,16432.0,17.083469999999988,2017-12-20 15:00:00,1513762200,2017-12-20 15:00:00,938.37,940.65,937.58,940.13,0
43,16416.0,16483.0,15900.0,16312.0,22.749047999999995,2017-12-20 16:00:00,1513765800,2017-12-20 16:00:00,937.34,939.14,935.54,938.56,0
44,16319.0,16848.0,16314.0,16825.0,17.978101,2017-12-20 17:00:00,1513769400,2017-12-20 17:00:00,938.16,939.43,937.38,937.38,0
45,16799.0,16806.0,16414.0,16784.0,10.772564999999997,2017-12-20 18:00:00,1513773000,2017-12-20 18:00:00,939.38,939.53,937.87,938.14,0
46,16780.0,16780.0,16350.0,16662.0,12.06883399999999,2017-12-20 19:00:00,1513776600,2017-12-20 19:00:00,940.81,941.06,939.32,939.4,0
47,16662.0,16714.0,16328.384,16571.0,7.014794999999998,2017-12-20 20:00:00,1513780200,2017-12-20 20:00:00,939.43,940.99,938.94,940.8,0
